Registro,Media,Mediana,Máximo,Mínimo,Varianza,Desviación_Estd,Rango,Percentil_25,Percentil_75,Moda,Curtosis,Asimetría,RMS,Energía,Potencia,Cruces_por_Cero,Pico_Máximo,Posición_Pico_Máximo,Pico_Mínimo,Posición_Pico_Mínimo,Frecuencia_Dominante,Magnitud_Máxima,Energía_Espectral,Frecuencia_Media,Frecuencia_Mediana,Ancho_Banda
100,-6.996113090560987e-19,-0.009455800179237,0.6517132548775114,-0.9,0.004894161477310178,0.06995828383622756,1.5517132548775114,-0.030616045627247554,0.012873919522042053,-0.0077648784454308895,22.156606069829184,4.076336956870616,0.06995828383622756,3181.2049602516154,1.7618981318316638,13413,0.6517132548775114,1580.3305555555555,-0.9,1518.8666666666666,1.2450461538461537,1486.8438807576279,1033891612.0518159,15.868915136329703,14.02836923076923,14.164757270371885
101,8.745141363201233e-20,-0.01404327287515195,0.7972944802721493,-0.9,0.0065237069711529495,0.0807694680628327,1.6972944802721495,-0.03688967166718073,0.015397712564125832,-0.025893342659843055,19.314706899149897,2.62815137107848,0.0807694680628327,4240.409531249417,2.3485345096150616,11155,0.7972944802721493,176.75277777777777,-0.9,175.35833333333332,0.053723076923076915,2509.7632389264836,1378133097.6540823,12.397098712985297,10.057292307692308,10.946554357957977
102,-1.3992226181121973e-18,-0.022794669178258564,0.8960638689597908,-0.9,0.014098654626062752,0.11873775568900885,1.796063868959791,-0.06523990279285614,0.025827962670900123,-0.028909023554501312,4.2581250939442095,1.781957254841826,0.11873775568900885,9164.125506940789,5.07551566538259,10978,0.8960638689597908,107.05555555555556,-0.9,1411.5611111111111,2.416984615384615,15424.93961282264,2978340789.7529793,13.67905861484298,10.0224,12.502862505885792
103,-1.311771204480185e-19,-0.016387990687349793,0.9,-0.6912869672685984,0.00826991192269682,0.09093905609086131,1.5912869672685983,-0.04013516819805327,0.009600484963324581,-0.014990006179444126,17.35444727723097,3.3036704968680346,0.09093905609086131,5375.442749752932,2.9771682921708544,12283,0.9,1093.286111111111,-0.6912869672685984,1090.2388888888888,0.02049230769230769,2567.0674516297045,1747018893.6678903,13.795908808494534,12.532984615384613,10.24504552691284
104,-1.049416963584148e-18,-0.006220032862799806,0.9,-0.6665332822740602,0.012207688287864182,0.11048840793433573,1.5665332822740603,-0.046718194106793856,0.04681397429229447,-0.016421970130325148,7.117253108382725,1.05403054119781,0.11048840793433573,7934.997387111718,4.394767783631105,11416,0.9,376.0722222222222,-0.6665332822740602,275.00555555555553,2.463507692307692,8435.068379342727,2578874150.8105855,11.601519697449556,8.1504,10.99407061117813
105,-1.5303997385602158e-18,-0.012578233276690123,0.8278618389745962,-0.9,0.010916472989614479,0.10448192661706845,1.7278618389745963,-0.04391200323006024,0.01758804019816193,-0.010151152928082885,9.601315205777352,0.9092594790374281,0.10448192661706845,7095.707443249411,3.929930276261212,14535,0.8278618389745962,1217.8666666666666,-0.9,1306.963888888889,1.3857230769230768,2254.314250712948,2306104919.026308,9.39522307394948,6.543138461538461,13.154275696169021
106,-3.4980565452804933e-19,-0.02305948909769586,0.9,-0.5886538910417545,0.013622214687312785,0.11671424372077636,1.4886538910417544,-0.05643924863490173,0.025202578009358746,-0.03040868190109658,10.898592070863545,2.404179346900778,0.11671424372077636,8854.43954675331,4.9039972874326025,11399,0.9,1181.475,-0.5886538910417545,717.0833333333334,0.05095384615384615,2179.5100220404534,2877692852.6946044,11.05901157412036,8.919138461538461,9.332228439092708
107,3.104525183936438e-18,-0.02632644944777949,0.9,-0.7552208413437176,0.04505346338900164,0.21225801136588848,1.6552208413437177,-0.10030987432823243,0.12809240969753222,-0.06830419218607481,0.7654739367127887,-0.04344111973145242,0.21225801136588848,29284.751202851065,16.21924682004059,9601,0.9,758.9222222222222,-0.7552208413437176,1803.2472222222223,2.352184615384615,14527.37052763974,9517544140.890093,9.362914263535409,5.671384615384615,12.769398749483008
108,-4.372570681600616e-19,-0.0036535912095541313,0.8294478336206685,-0.9,0.009359299203146147,0.09674347111379737,1.7294478336206685,-0.03954007057484925,0.03197502690695316,-0.009334365685355672,11.798611527707349,0.05484862555147885,0.09674347111379737,6083.544482044996,3.369347713132613,10412,0.8294478336206685,930.4944444444444,-0.9,1653.9305555555557,0.04486153846153846,5885.9657933931,1977151956.664372,8.535039361656994,6.065723076923076,9.372452068718548
109,8.854455630241248e-19,-0.011874249523077966,0.9,-0.8045809755438356,0.017861921252112306,0.1336484988771378,1.7045809755438355,-0.07771772303945279,0.03433672563143643,-0.011950821915952037,6.545050042516715,1.9790371818036765,0.1336484988771378,11610.248813872999,6.43029165076043,11935,0.9,1782.6305555555555,-0.8045809755438356,1676.5194444444444,2.7636923076923074,5174.371811540081,3773330864.4877625,8.556117230013134,6.659999999999999,11.408076431980351
